		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 48.812500	M = 25000	N = 8	m = 9	n = 200000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   42   58   44   38   54   38   48   54  9.369000 0.312130 SUCCESS  76
100101000   52   44   43   63   50   46   54   49  6.453641 0.596554 SUCCESS  77
100110000   51   57   45   46   53   62   46   41  7.512809 0.482444 SUCCESS  78
100111000   45   56   54   49   50   47   34   50  6.750208 0.563808 SUCCESS  79
101000000   47   55   53   46   47   42   40   45  4.425335 0.816856 SUCCESS  80
101000100   53   40   46   52   41   55   41   51  5.897578 0.658704 SUCCESS  81
101001000   37   38   44   50   58   53   39   42 11.135162 0.194158 SUCCESS  82
101001100   47   52   40   51   57   56   57   44  6.456289 0.596260 SUCCESS  83
101010000   54   50   45   55   55   42   56   41  5.900226 0.658407 SUCCESS  84
101010100   44   53   47   45   55   58   44   48  4.343249 0.824903 SUCCESS  85
101011000   40   53   58   44   53   64   44   48 10.057459 0.261016 SUCCESS  86
101011100   55   58   55   45   46   40   51   44  6.122651 0.633495 SUCCESS  87
101100000   46   42   47   46   50   51   48   46  1.700626 0.988855 SUCCESS  88
101100100   40   51   45   50   48   51   43   52  3.130502 0.925903 SUCCESS  89
101101000   47   53   52   51   42   63   48   50  6.048509 0.641798 SUCCESS  90
101101100   44   44   50   53   52   57   58   49  4.806635 0.778029 SUCCESS  91
101110000   54   44   53   49   45   44   54   44  3.292026 0.914718 SUCCESS  92
101110100   49   48   39   45   51   48   48   38  4.968158 0.760974 SUCCESS  93
101111000   53   34   41   40   44   36   56   52 13.234962 0.104017 SUCCESS  94
101111100   53   45   48   63   52   46   44   51  5.932001 0.654849 SUCCESS  95
110000000   51   44   63   43   49   51   44   41  7.457202 0.488200 SUCCESS  96
110000010   50   51   34   46   50   46   40   36 10.266645 0.246808 SUCCESS  97
110000100   54   55   51   50   52   47   47   56  2.961036 0.936779 SUCCESS  98
110001000   47   54   37   58   42   40   51   45  8.421045 0.393458 SUCCESS  99
110001010   44   51   39   51   43   63   44   48  8.217155 0.412551 SUCCESS 100
110010000   36   55   57   39   52   46   50   57  9.580834 0.295686 SUCCESS 101
110010010   52   55   47   45   44   53   54   44  3.326448 0.912234 SUCCESS 102
110010100   57   44   42   62   40   48   40   45 10.189855 0.251953 SUCCESS 103
110011000   47   67   58   50   51   59   39   37 16.190040 0.039739 SUCCESS 104
110011010   52   48   51   47   46   58   46   45  2.831288 0.944495 SUCCESS 105
110100000   40   52   54   48   45   56   41   56  6.233864 0.621054 SUCCESS 106
110100010   41   44   55   46   44   52   45   49  3.776595 0.876696 SUCCESS 107
110100100   54   51   50   44   53   56   43   50  3.403238 0.906568 SUCCESS 108
110101000   63   47   41   63   44   52   42   38 14.055817 0.080322 SUCCESS 109
110101010   47   54   52   41   51   56   39   47  5.452728 0.708272 SUCCESS 110
110101100   42   55   51   43   57   50   49   52  4.277051 0.831302 SUCCESS 111
110110000   45   43   40   42   53   57   61   57 10.009797 0.264339 SUCCESS 112
110110010   39   50   45   54   38   60   50   47  8.174789 0.416585 SUCCESS 113
110110100   48   47   45   35   42   60   47   61 11.283446 0.186150 SUCCESS 114
110111000   53   41   50   64   54   42   66   49 14.392103 0.072101 SUCCESS 115
110111010   47   54   52   58   45   52   38   53  6.014086 0.645654 SUCCESS 116
110111100   59   39   42   42   40   37   44   54 11.865988 0.157284 SUCCESS 117
111000000   48   42   57   41   42   45   46   47  5.238246 0.731835 SUCCESS 118
111000010   51   44   61   53   45   44   54   43  6.194145 0.625495 SUCCESS 119
111000100   58   50   34   49   55   31   54   44 15.059378 0.058001 SUCCESS 120
111000110   47   53   77   43   52   46   52   47 18.655253 0.016816 SUCCESS 121
111001000   41   56   53   48   58   48   41   52  6.082932 0.637943 SUCCESS 122
111001010   50   38   47   55   57   40   53   47  6.893196 0.548199 SUCCESS 123
111001100   45   64   63   58   59   56   48   37 17.508704 0.025227 SUCCESS 124
111010000   45   55   52   51   50   56   53   52  3.146390 0.924837 SUCCESS 125
111010010   58   41   49   46   43   43   49   51  4.782804 0.780518 SUCCESS 126
111010100   56   55   46   60   55   42   48   47  6.601925 0.580126 SUCCESS 127
111010110   37   53   50   51   52   50   42   50  4.716606 0.787392 SUCCESS 128
111011000   56   57   41   44   41   60   62   50 11.956017 0.153177 SUCCESS 129
111011010   47   54   49   40   51   58   52   62  8.074168 0.426259 SUCCESS 130
111011100   46   42   49   50   57   46   62   53  6.824350 0.555697 SUCCESS 131
111100000   50   48   56   37   44   44   50   42  6.088228 0.637350 SUCCESS 132
111100010   50   44   41   62   52   35   48   58 11.556181 0.172131 SUCCESS 133
111100100   45   47   52   43   48   49   46   45  1.798599 0.986576 SUCCESS 134
111100110   47   68   63   58   45   57   48   51 15.763725 0.045890 SUCCESS 135
111101000   40   54   54   60   50   58   46   56  8.516370 0.384720 SUCCESS 136
111101010   66   45   50   54   58   41   42   49 11.230487 0.188978 SUCCESS 137
111101100   52   54   48   46   31   46   43   54  9.141279 0.330518 SUCCESS 138
111101110   47   61   53   55   45   47   56   41  7.163283 0.519123 SUCCESS 139
111110000   44   39   46   45   42   41   53   32 11.640915 0.167959 SUCCESS 140
111110010   43   42   48   43   43   45   47   43  4.237333 0.835101 SUCCESS 141
111110100   51   61   49   48   44   47   46   57  5.410361 0.712950 SUCCESS 142
111110110   45   54   43   39   41   52   42   50  6.154426 0.629939 SUCCESS 143
111111000   43   48   53   56   44   39   52   46  5.108498 0.745919 SUCCESS 144
111111010   60   57   49   42   54   40   43   40  9.631144 0.291875 SUCCESS 145
111111100   40   43   59   46   44   49   43   42  6.917027 0.545611 SUCCESS 146
111111110   43   39   55   55   41   47   37   39 10.735326 0.217152 SUCCESS 147

